"FilePath","PreprocessedCode"
"/Users/sagelab/Documents/Projects/BugLocalization/Artifact-ICSE24/GUI-Bug-Localization-Data/BuggyProjects/bug-19/app/src/androidTest/java/de/westnordost/streetcomplete/quests/AddRoadSurfaceTest.java","westnordost streetcomplete quest westnordost streetcomplete datum osm osm element quest type westnordost streetcomplete datum osm change string map entry add westnordost streetcomplete quest road surface add road surface westnordost streetcomplete quest road surface add road surface form add road surface test extend osm element quest type test override set exception set tag put highway residential test surface bundle put string add road surface form surface cobblestone verify string map entry add surface cobblestone override protect osm element quest type create quest type add road surface null"
"/Users/sagelab/Documents/Projects/BugLocalization/Artifact-ICSE24/GUI-Bug-Localization-Data/BuggyProjects/bug-19/app/src/androidTest/java/de/westnordost/streetcomplete/quests/AddBuildingLevelsTest.java","westnordost streetcomplete quest westnordost streetcomplete datum osm osm element quest type westnordost streetcomplete datum osm change string map entry add westnordost streetcomplete quest building level add building level westnordost streetcomplete quest building level add building level form add building level test extend osm element quest type test override set exception set tag put building residential test building level only bundle put add building level form building level verify string map entry add building level test building level and zero roof level bundle put add building level form building level bundle put add building level form roof level verify string map entry add building level string map entry add roof level test building level and roof level bundle put add building level form building level bundle put add building level form roof level verify string map entry add building level string map entry add roof level override protect osm element quest type create quest type add building level null"
"/Users/sagelab/Documents/Projects/BugLocalization/Artifact-ICSE24/GUI-Bug-Localization-Data/BuggyProjects/bug-19/app/src/androidTest/java/de/westnordost/streetcomplete/quests/opening_hours/AddOpeningHoursTest.java","westnordost streetcomplete quest open hour westnordost streetcomplete datum osm osm element quest type westnordost streetcomplete datum osm change string map entry add westnordost streetcomplete quest osm element quest type test add opening hour test extend osm element quest type test override protect osm element quest type create quest type add opening hour null test opening hour bundle put string add opening hour form opening hour cool open hour verify string map entry add open hour cool open hour"
"/Users/sagelab/Documents/Projects/BugLocalization/Artifact-ICSE24/GUI-Bug-Localization-Data/BuggyProjects/bug-19/app/src/androidTest/java/de/westnordost/streetcomplete/quests/AddMaxSpeedTest.java","westnordost streetcomplete quest westnordost streetcomplete datum osm osm element quest type westnordost streetcomplete datum osm change string map entry add westnordost streetcomplete datum osm change string map entry modify westnordost streetcomplete quest max speed add max speed westnordost streetcomplete quest max speed add max speed form add max speed test extend osm element quest type test string maxspeed type maxspeed type test sign bundle put string add max speed form max speed implicit roadtype flubberway bundle put string add max speed form max speed implicit country verify string map entry add maxspeed type flubberway test normal sign bundle put string add max speed form max speed verify string map entry add maxspeed string map entry add maxspeed type sign test advisory normal sign bundle put string add max speed form advisory speed verify string map entry add maxspeed advisory string map entry add maxspeed type advisory sign test zone sign bundle put string add max speed form max speed bundle put string add max speed form max speed implicit roadtype zone xyz bundle put string add max speed form max speed implicit country verify string map entry add maxspeed string map entry add maxspeed type zone xyz test live street tag put highway residential bundle put add max speed form live street verify string map entry modify highway residential live street override protect osm element quest type create quest type add max speed null"
"/Users/sagelab/Documents/Projects/BugLocalization/Artifact-ICSE24/GUI-Bug-Localization-Data/BuggyProjects/bug-19/app/src/androidTest/java/de/westnordost/streetcomplete/quests/QuestAnswerComponentTest.java","westnordost streetcomplete quest android bundle junit framework test java util array list westnordost streetcomplete datum quest group quest answer component test extend test test get set quest answer component quest answer component create quest answer component create argument quest group osm equal quest group osm get quest group equal get quest quest answer component quest answer component create get argument equal get quest group get quest group equal get quest get quest test listener quest answer component quest answer component expect quest quest group expect group quest group osm note string expect note test string expect quest title what bundle expect bundle bundle array list string expect image path array list expect image path add ding expect image path add dong expect bundle put string attach osm quest answer listener override answered quest quest quest group group bundle answer equal expect quest quest equal expect group group equal expect bundle answer override leave note quest quest group group string quest title string note array list string image path equal expect quest quest equal expect group group equal expect note note equal expect quest title quest title equal expect image path image path override skipped quest quest quest group group equal expect quest quest equal expect group group create quest answer component create argument expect quest expect group leave note expect quest title expect note expect image path answer quest expect bundle skipped quest"
"/Users/sagelab/Documents/Projects/BugLocalization/Artifact-ICSE24/GUI-Bug-Localization-Data/BuggyProjects/bug-19/app/src/androidTest/java/de/westnordost/streetcomplete/quests/AOsmElementQuestTypeTest.java","westnordost streetcomplete quest android bundle junit framework test java util hash map java util list java util map westnordost streetcomplete datum osm osm element quest type westnordost streetcomplete datum osm change string map change builder westnordost streetcomplete datum osm change string map entry change osm element quest type test extend test protect bundle bundle protect map string string tag set exception set bundle bundle tag hash map protect verify string map entry change expect change string map change builder string map change builder tag create quest type apply answer bundle list string map entry change change create get change string map entry change expect change expect change change contain expect change protect osm element quest type create quest type"
"/Users/sagelab/Documents/Projects/BugLocalization/Artifact-ICSE24/GUI-Bug-Localization-Data/BuggyProjects/bug-19/app/src/androidTest/java/de/westnordost/streetcomplete/quests/AddRecyclingTypeTest.java","westnordost streetcomplete quest java util array list westnordost streetcomplete datum osm osm element quest type westnordost streetcomplete datum osm change string map entry add westnordost streetcomplete quest recycle add recycling type westnordost streetcomplete quest recycle add recycling type form add recycling type test extend osm element quest type test override set exception set tag put amenity recycle test recycling centre bundle put string array list add recycling type form osm value get string array centre verify string map entry add recycle type centre test recycling underground container bundle put string array list add recycling type form osm value get string array underground verify string map entry add recycle type container verify string map entry add location underground test recycling overground container bundle put string array list add recycling type form osm value get string array overground verify string map entry add recycle type container array list string get string array string value array list string value array list value add value value override protect osm element quest type create quest type add recycling type null"
"/Users/sagelab/Documents/Projects/BugLocalization/Artifact-ICSE24/GUI-Bug-Localization-Data/BuggyProjects/bug-19/app/src/androidTest/java/de/westnordost/streetcomplete/quests/AddCyclewayTest.java","westnordost streetcomplete quest westnordost streetcomplete datum osm osm element quest type westnordost streetcomplete datum osm change string map change builder westnordost streetcomplete datum osm change string map entry add westnordost streetcomplete quest bikeway add cycleway westnordost streetcomplete quest bikeway add cycleway form westnordost streetcomplete quest bikeway cycleway add cycleway test extend osm element quest type test test cycleway leave and right dont have specify bundle put string add cycleway form cycleway left cycleway exclusive lane name string map change builder string map change builder tag create quest type apply answer bundle success exception test cycleway leave and right dont have specify bundle put string add cycleway form cycleway right cycleway exclusive lane name string map change builder string map change builder tag create quest type apply answer bundle success exception test cycleway lane put both side cycleway exclusive lane verify string map entry add cycleway both lane string map entry add cycleway both lane exclusive test cycleway advisory lane put both side cycleway advisory lane verify string map entry add cycleway both lane string map entry add cycleway both lane advisory test cycleway unspecified lane put both side cycleway lane unspecified verify string map entry add cycleway both lane test cycleway track put both side cycleway track verify string map entry add cycleway both track test cycleway bus lane put both side cycleway busway verify string map entry add cycleway both share busway test cycleway pictogram lane put both side cycleway pictogram verify string map entry add cycleway both shared lane string map entry add cycleway both lane pictogram test cycleway suggestion lane put both side cycleway suggestion lane verify string map entry add cycleway both shared lane string map entry add cycleway both lane advisory test cycleway none put both side cycleway none verify string map entry add cycleway both test cycleway sidewalk put both side cycleway sidewalk explicit verify string map entry add cycleway both track string map entry add sidewalk both string map entry add cycleway both segregate test cycleway sidewalk okay put both side cycleway sidewalk verify string map entry add cycleway both string map entry add sidewalk both string map entry add sidewalk both bicycle yes test cycleway sidewalk any bundle put string add cycleway form cycleway right cycleway sidewalk explicit name bundle put string add cycleway form cycleway left cycleway sidewalk name verify string map entry add sidewalk both test cycleway dual track put both side cycleway dual track verify string map entry add cycleway both track string map entry add cycleway both oneway test cycleway dual lane put both side cycleway dual lane verify string map entry add cycleway both lane string map entry add cycleway both oneway test leave and right different bundle put string add cycleway form cycleway right cycleway exclusive lane name bundle put string add cycleway form cycleway left cycleway track name verify string map entry add cycleway right lane string map entry add cycleway right lane exclusive string map entry add cycleway left track test cycleway makes street not oneway bicycle put both side cycleway exclusive lane bundle put add cycleway form oneway not cyclist verify string map entry add cycleway both lane string map entry add oneway bicycle string map entry add cycleway both lane exclusive test cycleway lane with explicit direction would street that have lane both side but oneway yes country with right hand traffic put both side cycleway exclusive lane bundle put add cycleway form cycleway left dir verify string map entry add cycleway left lane string map entry add cycleway left oneway string map entry add cycleway right lane string map entry add cycleway left lane exclusive string map entry add cycleway right lane exclusive test cycleway lane with explicit other direction would street that have lane both side but oneway country with right hand traffic put both side cycleway exclusive lane bundle put add cycleway form cycleway left dir verify string map entry add cycleway left lane string map entry add cycleway left oneway yes string map entry add cycleway right lane string map entry add cycleway left lane exclusive string map entry add cycleway right lane exclusive put both side cycleway cycleway bundle put string add cycleway form cycleway right cycleway name bundle put string add cycleway form cycleway left cycleway name override protect osm element quest type create quest type add cycleway null"
"/Users/sagelab/Documents/Projects/BugLocalization/Artifact-ICSE24/GUI-Bug-Localization-Data/BuggyProjects/bug-19/app/src/androidTest/java/de/westnordost/streetcomplete/quests/AddPostboxCollectionTimesTest.java","westnordost streetcomplete quest westnordost streetcomplete datum osm osm element quest type westnordost streetcomplete datum osm change string map entry add westnordost streetcomplete quest postbox collection time add collection times form westnordost streetcomplete quest postbox collection time add postbox collection times add postbox collection times test extend osm element quest type test test times bundle put add collection times form time specify verify string map entry add note collection time time specify the box test times bundle put string add collection times form time time verify string map entry add collection time time override protect osm element quest type create quest type add postbox collection times null"
"/Users/sagelab/Documents/Projects/BugLocalization/Artifact-ICSE24/GUI-Bug-Localization-Data/BuggyProjects/bug-19/app/src/androidTest/java/de/westnordost/streetcomplete/quests/AddWheelchairPublicTransportTest.java","westnordost streetcomplete quest westnordost streetcomplete datum osm osm element quest type westnordost streetcomplete datum osm change string map entry add westnordost streetcomplete quest wheelchair access add wheel chair access transport westnordost streetcomplete quest wheelchair access add wheelchair access transport form add wheelchair transport test extend osm element quest type test override set exception set tag put highway bus stop test transport yes bundle put string add wheelchair access transport form answer yes verify string map entry add wheelchair yes test transport bundle put string add wheelchair access transport form answer verify string map entry add wheelchair test transport limited bundle put string add wheelchair access transport form answer limited verify string map entry add wheelchair limited override protect osm element quest type create quest type add wheel chair access transport null"
